Date,Open,High,Low,Close,Inflasi,Kurs,M2,Vix Open,Vix High,Vix Low,Vix Close,ROE,NPM,PER,Sentiment_Perang,Sentiment_Resesi,Sentiment_BBM
9/27/2021,865,865,845,855,1.611428571,14258,7417663.18,17.780001,19.32,17.74,18.76,0.49206031,0.053068224,45.1614001,0.905492496,0.905492496,0.905492496
9/28/2021,855,865,845,855,1.614285714,14269,7424148.877,19.74,24.82,19.709999,23.25,0.496229257,0.053164097,44.89942183,0.889180946,0.889180946,0.889180946
9/29/2021,855,855,840,855,1.617142857,14307,7430634.573,22.07,23.790001,21.450001,22.559999,0.500398204,0.053259969,44.63744356,0.932118714,0.932118714,0.932118714
9/30/2021,855,855,840,845,1.62,14321,7437120.27,21.48,24.709999,20.6,23.139999,0.504567151,0.053355842,44.37546528,0.950119281,0.950119281,0.950119281
10/3/2021,845,865,840,865,1.622857143,14298.5,7443605.967,23.76,23.870001,22.379999,22.559999,0.508736098,0.053451714,44.11348701,0.868897974,0.868897974,0.868897974
10/4/2021,865,890,865,885,1.625714286,14276,7450091.663,20.55,21.8100005,19.7249995,21.1099995,0.512905045,0.053547587,43.85150874,0.929785773,0.929785773,0.929785773
10/5/2021,885,895,865,870,1.628571429,14260,7456577.36,17.34,19.75,17.07,19.66,0.517073992,0.053643459,43.58953047,0.946884617,0.946884617,0.946884617
10/6/2021,870,885,865,870,1.631428571,14245,7463063.057,18.18,18.290001,16.01,16.1,0.521242939,0.053739332,43.3275522,0.987249291,0.987249291,0.987249291
10/7/2021,870,890,870,880,1.634285714,14238,7469548.753,18.03333333,18.82666733,16.413333,16.97666667,0.525411886,0.053835204,43.06557393,0.983803344,0.983803344,0.983803344
10/10/2021,880,885,860,875,1.637142857,14224,7476034.45,17.88666667,19.36333367,16.816666,17.85333333,0.529580833,0.053931077,42.80359565,0.799524474,0.799524474,0.799524474
10/11/2021,875,895,875,885,1.64,14210,7482520.147,17.74,19.9,17.219999,18.73,0.53374978,0.054026949,42.54161738,0.845194447,0.845194447,0.845194447
10/12/2021,885,915,880,900,1.642857143,14217,7489005.843,21.27,21.299999,18.690001,18.690001,0.537918727,0.054122822,42.27963911,0.881681931,0.881681931,0.881681931
10/13/2021,900,905,880,900,1.645714286,14221,7495491.54,20.139999,20.23,18.440001,18.639999,0.542087674,0.054218694,42.01766084,0.980328429,0.980328429,0.980328429
10/14/2021,900,915,890,910,1.648571429,14155,7501977.237,18.01,18.08,16.799999,16.860001,0.546256621,0.054314567,41.75568257,0.976932108,0.976932108,0.976932108
10/17/2021,910,940,905,935,1.651428571,14125.5,7508462.933,17.6500005,18.005,16.5349995,16.585,0.550425568,0.054410439,41.49370429,0.993387818,0.993387818,0.993387818
10/18/2021,935,955,930,950,1.654285714,14096,7514948.63,17.290001,17.93,16.27,16.309999,0.554594515,0.054506312,41.23172602,0.973643124,0.973643124,0.973643124
10/20/2021,950,955,940,945,1.657142857,14114.5,7521434.327,15.82,15.89,15.29,15.49,0.558763462,0.054602184,40.96974775,0.810634685,0.810634685,0.810634685
10/21/2021,945,955,930,950,1.66,14133,7527920.023,16.059999,16.110001,14.92,15.01,0.562932409,0.054698057,40.70776948,0.985937071,0.985937071,0.985937071
10/24/2021,950,975,945,950,1.664285714,14158,7534405.72,16.099999,16.2200005,15.01,15.125,0.567101356,0.054793929,40.44579121,0.938631546,0.938631546,0.938631546
10/25/2021,950,970,945,965,1.668571429,14183,7540891.417,16.139999,16.33,15.1,15.24,0.571270303,0.054889802,40.18381293,0.784807603,0.784807603,0.784807603
10/26/2021,965,970,945,955,1.672857143,14165,7547377.113,15.02,16.709999,14.9,15.98,0.57543925,0.054985674,39.92183466,0.868095207,0.868095207,0.868095207
10/27/2021,955,955,935,940,1.677142857,14184,7553862.81,15.79,17.290001,15.54,16.98,0.579608197,0.055081547,39.65985639,0.890965307,0.890965307,0.890965307
10/28/2021,940,970,940,970,1.681428571,14199,7560348.507,17.059999,17.16,16.23,16.530001,0.583777144,0.055177419,39.39787812,0.92936331,0.92936331,0.92936331
10/31/2021,970,990,960,975,1.685714286,14217,7566834.203,20.184999,20.9849995,19.73,20.3050005,0.587946091,0.055273292,39.13589985,0.888711631,0.888711631,0.888711631
11/1/2021,975,985,965,980,1.69,14235,7573319.9,23.309999,24.809999,23.23,24.08,0.592115038,0.055369164,38.87392157,0.848245502,0.848245502,0.848245502
11/2/2021,980,990,965,980,1.694285714,14261,7586825.943,22.09,23.25,21.110001,21.25,0.596283985,0.055465037,38.6119433,0.898121881,0.898121881,0.898121881
11/3/2021,980,990,970,980,1.698571429,14301,7600331.986,22.5,22.5,21.450001,21.91,0.600452932,0.055560909,38.34996503,0.842680204,0.842680204,0.842680204
11/4/2021,980,1010,975,995,1.702857143,14327,7613838.03,20.603333,20.69666667,19.65666733,19.99666667,0.604621879,0.055656782,38.08798676,0.900692189,0.900692189,0.900692189
11/7/2021,995,1015,995,1015,1.707142857,14297.5,7627344.073,18.706666,18.89333333,17.86333367,18.08333333,0.608790826,0.055752654,37.82600849,0.873940003,0.873940003,0.873940003
11/8/2021,1015,1030,1010,1030,1.711428571,14268,7640850.116,16.809999,17.09,16.07,16.17,0.612959772,0.055848527,37.56403021,0.836277854,0.836277854,0.836277854
11/9/2021,1030,1040,990,1040,1.715714286,14233,7654356.159,18.3699995,18.7700005,17.0900005,18.085,0.617128719,0.055944399,37.30205194,0.939527929,0.939527929,0.939527929
